饰物名字	大类型	副类型	详细类别	重量	价格	五行	耐久	"防御力(外,内)"	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	评价等级	是否能交易(0能1不能)	是否能丢弃(0能1不能)	流派需求	是否可维修（0是/1否）
吉祥	0	102	22	1	1		20						500101	50				\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	吉祥的饰物，能给人带来好运气		已绑定装备		7	2	1		0
如意	0	102	23	1	1		20						500101	50				\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	吉祥的饰物，能给人带来好运气		已绑定装备		7	2	1		0
东方龙珠	0	102	24	1	1		20						500102	50				\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	上古遗传下来的神奇指环，传说会带给佩戴者意想不到的能力		已绑定装备		7	2	1		0
飞扬	0	102	25	1	1		20						500103	1	1			\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	见汝逸兴飞扬		已绑定装备		7	2	1		0
夕望	0	102	26	1	1		20						500104	1	2			\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	思君竟夕沉望		已绑定装备		7	2	1		0
屈原之佩	0	102	27	1	1		20						500105	1				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	先楚屈大夫的饰物，正气存于其中		饰物		7	0	1		0
大力神项链	0	102	28	10	1		50						500106	10				\image\item\ring\世界杯饰品a1.spr	\image\item\ring\世界杯饰品a0.spr	纯金打造嵌以大小明珠、宝石，由大宋皇帝赏赐给蹴鞠王的御赐项链，皇恩浩荡，祥云护体<enter>(装备后，拖入快捷栏使用)		饰物	\script\online\worldcup06\worldcup_ring_item.lua	7	0	1		0
太虚幻玉	0	102	29	10	1		50						500107	70				\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	九天玄女遗落在太虚幻境中的仙宝，对于修炼力量的习武之人，大有益处		饰物		7	0	1		0
太虚幻带	0	102	30	10	1		50						500108	70				\image\item\ring\飘带1a1.spr	\image\item\ring\飘带1a0.spr	九天玄女遗落在太虚幻境中的仙宝，对于修炼身法的习武之人，大有益处		饰物		7	0	1		0
太虚幻环	0	102	31	10	1		50						500109	70				\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	九天玄女遗落在太虚幻境中的仙宝，对于修炼根骨的习武之人，大有益处		饰物		7	0	1		0
太虚幻佩	0	102	32	10	1		50						500110	70				\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	九天玄女遗落在太虚幻境中的仙宝，对于修炼内功的习武之人，大有益处		饰物		7	0	1		0
太虚幻戒	0	102	33	10	1		50						500111	70				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	九天玄女遗落在太虚幻境中的仙宝，对于修炼洞察的习武之人，大有益处		饰物		7	0	1		0
太虚幻袋	0	102	34	10	1		50						500112	70				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	九天玄女遗落在太虚幻境中的仙宝，沁染人间浊气，却能被施毒之人所用		饰物		7	0	1		0
太虚幻石	0	102	35	10	1		50						500113	70				\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	九天玄女遗落在太虚幻境中的仙宝，可化仙风为锋锐，刺破敌人重铠		饰物		7	0	1		0
九天玄玉	0	102	129	10	1		50						500117	70				\image\item\ring\太虚幻玉a1.spr	\image\item\ring\太虚幻玉a0.spr	九天玄女遗落在太虚幻境中的仙宝，经高人点化开光后，更为修炼力量的习武之人带来无比裨益。		饰物		7	0	1		0
九天玄带	0	102	130	10	1		50						500118	70				\image\item\ring\太虚幻带a1.spr	\image\item\ring\太虚幻带a0.spr	九天玄女遗落在太虚幻境中的仙宝，经高人点化开光后，更为修炼身法的习武之人带来无比裨益。		饰物		7	0	1		0
九天玄环	0	102	131	10	1		50						500119	70				\image\item\ring\太虚幻环a1.spr	\image\item\ring\太虚幻环a0.spr	九天玄女遗落在太虚幻境中的仙宝，经高人点化开光后，更为修炼根古的习武之人带来无比裨益。		饰物		7	0	1		0
九天玄佩	0	102	132	10	1		50						500120	70				\image\item\ring\太虚幻佩a1.spr	\image\item\ring\太虚幻佩a0.spr	九天玄女遗落在太虚幻境中的仙宝，经高人点化开光后，更为修炼内功的习武之人带来无比裨益。		饰物		7	0	1		0
九天玄戒	0	102	133	10	1		50						500121	70				\image\item\ring\太虚幻戒a1.spr	\image\item\ring\太虚幻戒a0.spr	九天玄女遗落在太虚幻境中的仙宝，经高人点化开光后，更为修炼洞察的习武之人带来无比裨益。		饰物		7	0	1		0
九天玄袋	0	102	134	10	1		50						500122	70				\image\item\ring\太虚幻袋a1.spr	\image\item\ring\太虚幻袋a0.spr	九天玄女遗落在太虚幻境中的仙宝，经高人点化开光后，其毒性更甚于魔物。		饰物		7	0	1		0
九天玄石	0	102	135	10	1		50						500123	70				\image\item\ring\太虚幻石a1.spr	\image\item\ring\太虚幻石a0.spr	九天玄女遗落在太虚幻境中的仙宝，经高人点化开光后，可视一切宝铠如无物。		饰物		7	0	1		0
小姐戒指	0	102	36	1	30000		50						501001	70				\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	藏剑山庄小姐甚爱习武，虽不喜女儿装扮，却对此戒情有独钟，据说为幼时青梅竹马所赠		饰物		7	0	1		0
长老指环	0	102	37	1	30000		50						501002	70				\image\item\other\长老指环a1.spr	\image\item\other\长老指环a0_120.spr	藏剑山庄大长老少年时曾为江南第一风流才子，归隐藏剑后，相思寄于此指环中，据说指环上的绿宝石象征其至爱的名字		饰物		7	0	1		0
藏剑宝珠	0	102	38	1	50000		100						501003	75				\image\item\ring\宝珠a1.spr	\image\item\ring\宝珠120a0.spr	藏剑山庄镇庄之宝，唐初曾有海啸，潮退现神贝，坚固异常。九绝剑魔将其带回山庄，后开启，产宝珠一颗，仙风缭绕，金光四射，乃世间珍宝		饰物		9	0	1		0
藏剑奇石	0	102	39	1	50000		100						501004	75				\image\item\other\绝情石a1.spr	\image\item\other\绝情石a0_120.spr	藏剑山庄镇庄之宝，先年江津村闹鬼患，九绝剑魔路经此地，见群鬼围枯井却不敢近，下井探得奇石一枚，能哭能泪，可驱逐群魔，乃世间珍宝		饰物		9	0	1		0
藏剑金印	0	102	40	1	50000		100						501005	75				\image\item\other\庄主宝印a1.spr	\image\item\other\庄主宝印a0_120.spr	藏剑山庄镇庄之宝，战国宝玉和氏璧，于秦时铸成玉玺，传至汉、晋。后九绝剑魔偶得碎块，以纯金补铸其身，得宝印以镇山庄，乃世间珍宝		饰物		9	0	1		0
月亮兔药包	0	102	41	1	40000		50						500114	50				\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	传说为月亮兔胸前挂着的药包，每次捣药后，都会把做好的药品放到这个包包里		饰物	\script\online\3festival\item\yueliangtu.lua	7	2	1		0
嫦娥月舞带	0	102	42	1	50000		100						500115	70	 			\image\item\ring\飘带2a1.spr	\image\item\ring\飘带2a0.spr	传说为嫦娥仙子喜爱的飘带，翩翩起舞时，飘带随之舞动，美奂绝伦，可安定三界，平息各方灾祸		饰物	\script\online\3festival\item\change.lua	8	1	1		0
后羿落日环	0	102	43	1	50000		100						500116	70	 			\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	传说为后羿大神拉动落日神弓时佩带的指环，凝聚万钧神力，可洞穿三界一切罪恶		饰物	\script\online\3festival\item\houyi.lua	8	1	1		0
璀璨之星	0	102	44	1	50000		100						600016	70				\image\item\other\星星礼花a1.spr	\image\item\other\星星礼花a2.spr	这个神秘的物体折射出一股强大的力量		已绑定装备	\script\item\bright_star.lua	8	2	1		0
(下面一个是特殊用途)																												
新手玉佩	0	102	45	2	1		20							1				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	制作粗劣的玉佩，不似名家手笔		任务物品		1	0	0		0
金刚之朝阳佩	0	102	251	3	50		50						250101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	2	0
金刚之逍遥佩	0	102	271	5	50		70						270101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	2	0
金刚之朝阳佩	0	102	252	3	50		50						250201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	2	0
金刚之逍遥佩	0	102	272	5	50		70						270201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	2	0
如来之朝阳佩	0	102	351	3	50		50						350101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	3	0
如来之逍遥佩	0	102	371	5	50		70						370101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	3	0
如来之朝阳佩	0	102	352	3	50		50						350201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	3	0
如来之逍遥佩	0	102	372	5	50		70						370201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	3	0
罗汉之朝阳佩	0	102	451	3	50		50						450101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	4	0
罗汉之逍遥佩	0	102	471	5	50		70						470101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	4	0
罗汉之朝阳佩	0	102	452	3	50		50						450201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	4	0
罗汉之逍遥佩	0	102	472	5	50		70						470201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	4	0
侠客之朝阳佩	0	102	651	3	50		50						650101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	6	0
侠客之逍遥佩	0	102	671	5	50		70						670101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	6	0
侠客之朝阳佩	0	102	652	3	50		50						650201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	6	0
侠客之逍遥佩	0	102	672	5	50		70						670201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	6	0
侠客之朝阳佩	0	102	653	3	50		50						650301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	6	0
侠客之逍遥佩	0	102	673	5	50		70						670301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	6	0
侠客之朝阳佩	0	102	654	3	50		50						650401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	6	0
侠客之逍遥佩	0	102	674	5	50		70						670401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	6	0
观音之朝阳佩	0	102	853	3	50		50						850301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	8	0
观音之逍遥佩	0	102	873	5	50		70						870301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	8	0
观音之朝阳佩	0	102	854	3	50		50						850401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	8	0
观音之逍遥佩	0	102	874	5	50		70						870401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	8	0
玉女之朝阳佩	0	102	953	3	50		50						950301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	9	0
玉女之逍遥佩	0	102	973	5	50		70						970301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	9	0
玉女之朝阳佩	0	102	954	3	50		50						950401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	9	0
玉女之逍遥佩	0	102	974	5	50		70						970401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	9	0
降龙之朝阳佩	0	102	1151	3	50		50						1150101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	11	0
降龙之逍遥佩	0	102	1171	5	50		70						1170101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	11	0
降龙之朝阳佩	0	102	1152	3	50		50						1150201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	11	0
降龙之逍遥佩	0	102	1172	5	50		70						1170201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	11	0
降龙之朝阳佩	0	102	1153	3	50		50						1150301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	11	0
降龙之逍遥佩	0	102	1173	5	50		70						1170301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	11	0
降龙之朝阳佩	0	102	1154	3	50		50						1150401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	11	0
降龙之逍遥佩	0	102	1174	5	50		70						1170401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	11	0
疯魔之朝阳佩	0	102	1251	3	50		50						1250101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	12	0
疯魔之逍遥佩	0	102	1271	5	50		70						1270101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	12	0
疯魔之朝阳佩	0	102	1252	3	50		50						1250201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	12	0
疯魔之逍遥佩	0	102	1272	5	50		70						1270201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	12	0
疯魔之朝阳佩	0	102	1253	3	50		50						1250301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	12	0
疯魔之逍遥佩	0	102	1273	5	50		70						1270301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	12	0
疯魔之朝阳佩	0	102	1254	3	50		50						1250401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	12	0
疯魔之逍遥佩	0	102	1274	5	50		70						1270401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	12	0
真武之朝阳佩	0	102	1451	3	50		50						1450101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1		0
真武之逍遥佩	0	102	1471	5	50		70						1470101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1		0
真武之朝阳佩	0	102	1452	3	50		50						1450201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1		0
真武之逍遥佩	0	102	1472	5	50		70						1470201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1		0
真武之朝阳佩	0	102	1453	3	50		50						1450301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	14	0
真武之逍遥佩	0	102	1473	5	50		70						1470301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	14	0
真武之朝阳佩	0	102	1454	3	50		50						1450401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	14	0
真武之逍遥佩	0	102	1474	5	50		70						1470401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	14	0
一阳之朝阳佩	0	102	1551	3	50		50						1550101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	15	0
一阳之逍遥佩	0	102	1571	5	50		70						1570101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	15	0
一阳之朝阳佩	0	102	1552	3	50		50						1550201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	15	0
一阳之逍遥佩	0	102	1572	5	50		70						1570201	70	1	2		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	15	0
一阳之朝阳佩	0	102	1553	3	50		50						1550301	50	2	3		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	15	0
一阳之逍遥佩	0	102	1573	5	50		70						1570301	70	2	3		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	15	0
一阳之朝阳佩	0	102	1554	3	50		50						1550401	50	2	4		\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		已绑定装备		5	2	1	15	0
一阳之逍遥佩	0	102	1574	5	50		70						1570401	70	2	4		\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		已绑定装备		7	2	1	15	0
车骑之战士佩	0	102	1751	3	50		50						1750101	50	1	1		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	17	0
车骑之将军佩	0	102	1771	5	50		70						1770101	70	1	1		\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		已绑定装备		7	2	1	17	0
车骑之战士佩	0	102	1752	3	50		50						1750201	50	1	2		\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		已绑定装备		5	2	1	17	0
